RUSHING,GP,ATT,ATT/G,YDS,AVG,YDS/G,TD,LNG,BIG,100+,STUFF,YDS,FUM,FUML,1ST,PCT
"Bosher, MattÿATL",16,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
"Hudson, RodneyÿOAK",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Pouncey, MikeÿMIA",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Harris, JoshÿATL",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Kearse, JermaineÿNYJ",16,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-
"Tretter, JCÿCLE",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Bray, TylerÿKC",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.00%
"Hubbard, ChrisÿPIT",16,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Devey, JordanÿKC",9,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Jensen, RyanÿBAL",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Linsley, CoreyÿGB",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Paradis, MattÿDEN",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Fulton, ZachÿKC",15,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Nix, RooseveltÿPIT",16,3,0.2,0,0,0,1,1,0,0,1,1,0,0,1,33.30%
"Pulley, SpencerÿLAC",16,0,0,0,-,0,0,0,0,0,0,0,2,0,0,-
"Bond, DeyshawnÿIND",4,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Davis, AustinÿSEA",3,1,0.3,-1,-1,-0.3,0,-1,0,0,0,0,0,0,0,0.00%
"Kessler, CodyÿCLE",3,1,0.3,-1,-1,-0.3,0,-1,0,0,0,0,0,0,0,0.00%
"Raymond, KalifÿNYG",8,1,0.1,-1,-1,-0.1,0,-1,0,0,1,1,0,0,0,0.00%
"Rivers, PhilipÿLAC",16,18,1.1,-2,-0.1,-0.1,0,8,0,0,1,2,3,0,1,5.60%
"Anderson, DerekÿCAR",3,2,0.7,-2,-1,-0.7,0,-1,0,0,0,0,0,0,0,0.00%
"Walker, DelanieÿTEN",16,2,0.1,-2,-1,-0.1,1,1,0,0,1,3,0,0,1,50.00%
"McFadden, DarrenÿDAL",1,1,1,-2,-2,-2,0,-2,0,0,1,2,0,0,0,0.00%
"Daniel, ChaseÿNO",1,3,3,-2,-0.7,-2,0,0,0,0,0,0,0,0,0,0.00%
"DiMarco, PatrickÿBUF",16,2,0.1,-2,-1,-0.1,0,0,0,0,1,2,0,0,0,0.00%
"Mannion, SeanÿLAR",5,9,1.8,-2,-0.2,-0.4,0,3,0,0,0,0,1,0,3,33.30%
"Hill, BronsonÿARZ",2,1,0.5,-2,-2,-1,0,-2,0,0,1,2,0,0,0,0.00%
"Bradford, SamÿMIN",2,2,1,-3,-1.5,-1.5,0,-1,0,0,0,0,0,0,0,0.00%
"Smith, TorreyÿPHI",16,1,0.1,-3,-3,-0.2,0,-3,0,0,1,3,0,0,0,0.00%
"Matthews, RishardÿTEN",14,1,0.1,-3,-3,-0.2,0,-3,0,0,1,3,0,0,0,0.00%
"Mallett, RyanÿBAL",2,4,2,-3,-0.8,-1.5,0,0,0,0,0,0,1,0,1,25.00%
"Bridgewater, TeddyÿMIN",1,3,3,-3,-1,-3,0,-1,0,0,0,0,0,0,0,0.00%
"Bryant, DezÿDAL",16,1,0.1,-4,-4,-0.3,0,-4,0,0,1,4,0,0,0,0.00%
"Clemens, KellenÿLAC",8,5,0.6,-5,-1,-0.6,0,-1,0,0,0,0,0,0,0,0.00%
"Henne, ChadÿJAX",2,5,2.5,-5,-1,-2.5,0,-1,0,0,0,0,0,0,0,0.00%
"Thompson, DeonteÿBUF",16,2,0.1,-5,-2.5,-0.3,0,0,0,0,1,5,0,0,0,0.00%
"Landry, JarvisÿMIA",16,1,0.1,-7,-7,-0.4,0,-7,0,0,1,7,0,0,0,0.00%
"Baldwin, DougÿSEA",16,2,0.1,-8,-4,-0.5,0,-3,0,0,2,8,0,0,0,0.00%
"Hill, JoshÿNO",16,1,0.1,-8,-8,-0.5,0,-8,0,0,1,8,0,0,0,0.00%
"Moore, ChrisÿBAL",13,2,0.2,-9,-4.5,-0.7,0,-4,0,0,2,9,0,0,0,0.00%
"Jones, LandryÿPIT",3,8,2.7,-10,-1.3,-3.3,0,0,0,0,1,6,0,0,0,0.00%
"King, MarquetteÿOAK",16,2,0.1,-14,-7,-0.9,0,-3,0,0,2,14,0,0,0,0.00%
"Doctson, JoshÿWSH",16,1,0.1,-14,-14,-0.9,0,-14,0,0,1,14,0,0,0,0.00%
